,ingredient,name,url
75,pepper,ribeye steaks with blue cheese butter and mushrooms,http://www.beefitswhatsfordinner.com/recipes/recipe/1632/ribeye-steaks-with-blue-cheese-butter-and-mushrooms
76,medium portobello mushrooms,ribeye steaks with blue cheese butter and mushrooms,http://www.beefitswhatsfordinner.com/recipes/recipe/1632/ribeye-steaks-with-blue-cheese-butter-and-mushrooms
77,olive oil,ribeye steaks with blue cheese butter and mushrooms,http://www.beefitswhatsfordinner.com/recipes/recipe/1632/ribeye-steaks-with-blue-cheese-butter-and-mushrooms
78,salt,ribeye steaks with blue cheese butter and mushrooms,http://www.beefitswhatsfordinner.com/recipes/recipe/1632/ribeye-steaks-with-blue-cheese-butter-and-mushrooms
79,chopped fresh parsley,ribeye steaks with blue cheese butter and mushrooms,http://www.beefitswhatsfordinner.com/recipes/recipe/1632/ribeye-steaks-with-blue-cheese-butter-and-mushrooms
80,crumbled blue cheese,ribeye steaks with blue cheese butter and mushrooms,http://www.beefitswhatsfordinner.com/recipes/recipe/1632/ribeye-steaks-with-blue-cheese-butter-and-mushrooms
81,butter,ribeye steaks with blue cheese butter and mushrooms,http://www.beefitswhatsfordinner.com/recipes/recipe/1632/ribeye-steaks-with-blue-cheese-butter-and-mushrooms
82,chopped rehydrated sun-dried tomatoes,ribeye steaks with blue cheese butter and mushrooms,http://www.beefitswhatsfordinner.com/recipes/recipe/1632/ribeye-steaks-with-blue-cheese-butter-and-mushrooms
83,chopped fresh parsley,ribeye steaks with blue cheese butter and mushrooms,http://www.beefitswhatsfordinner.com/recipes/recipe/1632/ribeye-steaks-with-blue-cheese-butter-and-mushrooms
84,beef strip steaks boneless,garden herb strip steaks,http://www.beefitswhatsfordinner.com/recipes/recipe/1685/garden-herb-strip-steaks
85,salt,garden herb strip steaks,http://www.beefitswhatsfordinner.com/recipes/recipe/1685/garden-herb-strip-steaks
86,chopped fresh thyme,garden herb strip steaks,http://www.beefitswhatsfordinner.com/recipes/recipe/1685/garden-herb-strip-steaks
87,chopped fresh oregano,garden herb strip steaks,http://www.beefitswhatsfordinner.com/recipes/recipe/1685/garden-herb-strip-steaks
88,freshly grated lemon peel,garden herb strip steaks,http://www.beefitswhatsfordinner.com/recipes/recipe/1685/garden-herb-strip-steaks
89,cloves garlic,garden herb strip steaks,http://www.beefitswhatsfordinner.com/recipes/recipe/1685/garden-herb-strip-steaks
90,pepper,garden herb strip steaks,http://www.beefitswhatsfordinner.com/recipes/recipe/1685/garden-herb-strip-steaks
91,beef strip filets,chimichurri-marinated strip filets,http://www.beefitswhatsfordinner.com/recipes/recipe/1926/chimichurri-marinated-strip-filets
92,cloves garlic,chimichurri-marinated strip filets,http://www.beefitswhatsfordinner.com/recipes/recipe/1926/chimichurri-marinated-strip-filets
93,packed fresh cilantro,chimichurri-marinated strip filets,http://www.beefitswhatsfordinner.com/recipes/recipe/1926/chimichurri-marinated-strip-filets
94,packed fresh parsley,chimichurri-marinated strip filets,http://www.beefitswhatsfordinner.com/recipes/recipe/1926/chimichurri-marinated-strip-filets
95,olive oil,chimichurri-marinated strip filets,http://www.beefitswhatsfordinner.com/recipes/recipe/1926/chimichurri-marinated-strip-filets
96,fresh lemon juice,chimichurri-marinated strip filets,http://www.beefitswhatsfordinner.com/recipes/recipe/1926/chimichurri-marinated-strip-filets
97,salt,chimichurri-marinated strip filets,http://www.beefitswhatsfordinner.com/recipes/recipe/1926/chimichurri-marinated-strip-filets
98,freshly grated lemon peel,chimichurri-marinated strip filets,http://www.beefitswhatsfordinner.com/recipes/recipe/1926/chimichurri-marinated-strip-filets
99,crushed red pepper,chimichurri-marinated strip filets,http://www.beefitswhatsfordinner.com/recipes/recipe/1926/chimichurri-marinated-strip-filets
100,ground beef,confetti beef taco salad,http://www.beefitswhatsfordinner.com/recipes/recipe/402/confetti-beef-taco-salad
101,package,confetti beef taco salad,http://www.beefitswhatsfordinner.com/recipes/recipe/402/confetti-beef-taco-salad
102,coarsely crushed tortilla chips,confetti beef taco salad,http://www.beefitswhatsfordinner.com/recipes/recipe/402/confetti-beef-taco-salad
103,shredded cheddar cheese,confetti beef taco salad,http://www.beefitswhatsfordinner.com/recipes/recipe/402/confetti-beef-taco-salad
104,medium  tomato,confetti beef taco salad,http://www.beefitswhatsfordinner.com/recipes/recipe/402/confetti-beef-taco-salad
105,package,confetti beef taco salad,http://www.beefitswhatsfordinner.com/recipes/recipe/402/confetti-beef-taco-salad
107,sliced ripe olives,confetti beef taco salad,http://www.beefitswhatsfordinner.com/recipes/recipe/402/confetti-beef-taco-salad
108,beef top round steak,"farmer's market vegetable, beef & brown rice salad",http://www.beefitswhatsfordinner.com/recipes/recipe/1158/farmers-market-vegetable-beef-brown-rice-salad
109,olive oil,"farmer's market vegetable, beef & brown rice salad",http://www.beefitswhatsfordinner.com/recipes/recipe/1158/farmers-market-vegetable-beef-brown-rice-salad
110,asparagus pieces,"farmer's market vegetable, beef & brown rice salad",http://www.beefitswhatsfordinner.com/recipes/recipe/1158/farmers-market-vegetable-beef-brown-rice-salad
111,medium  yellow squash,"farmer's market vegetable, beef & brown rice salad",http://www.beefitswhatsfordinner.com/recipes/recipe/1158/farmers-market-vegetable-beef-brown-rice-salad
112,hot cooked brown rice,"farmer's market vegetable, beef & brown rice salad",http://www.beefitswhatsfordinner.com/recipes/recipe/1158/farmers-market-vegetable-beef-brown-rice-salad
113,diced,"farmer's market vegetable, beef & brown rice salad",http://www.beefitswhatsfordinner.com/recipes/recipe/1158/farmers-market-vegetable-beef-brown-rice-salad
114,canned garbanzo beans,"farmer's market vegetable, beef & brown rice salad",http://www.beefitswhatsfordinner.com/recipes/recipe/1158/farmers-market-vegetable-beef-brown-rice-salad
115,fresh basil,"farmer's market vegetable, beef & brown rice salad",http://www.beefitswhatsfordinner.com/recipes/recipe/1158/farmers-market-vegetable-beef-brown-rice-salad
116,salt,"farmer's market vegetable, beef & brown rice salad",http://www.beefitswhatsfordinner.com/recipes/recipe/1158/farmers-market-vegetable-beef-brown-rice-salad
117,olive oil,"farmer's market vegetable, beef & brown rice salad",http://www.beefitswhatsfordinner.com/recipes/recipe/1158/farmers-market-vegetable-beef-brown-rice-salad
118,fresh lemon juice,"farmer's market vegetable, beef & brown rice salad",http://www.beefitswhatsfordinner.com/recipes/recipe/1158/farmers-market-vegetable-beef-brown-rice-salad
119,minced garlic,"farmer's market vegetable, beef & brown rice salad",http://www.beefitswhatsfordinner.com/recipes/recipe/1158/farmers-market-vegetable-beef-brown-rice-salad
120,honey,"farmer's market vegetable, beef & brown rice salad",http://www.beefitswhatsfordinner.com/recipes/recipe/1158/farmers-market-vegetable-beef-brown-rice-salad
121,fresh thyme,"farmer's market vegetable, beef & brown rice salad",http://www.beefitswhatsfordinner.com/recipes/recipe/1158/farmers-market-vegetable-beef-brown-rice-salad
122,salt,"farmer's market vegetable, beef & brown rice salad",http://www.beefitswhatsfordinner.com/recipes/recipe/1158/farmers-market-vegetable-beef-brown-rice-salad
123,black pepper,"farmer's market vegetable, beef & brown rice salad",http://www.beefitswhatsfordinner.com/recipes/recipe/1158/farmers-market-vegetable-beef-brown-rice-salad
124,beef tenderloin steaks,"tenderloin, cranberry and pear salad with honey mustard dressing",http://www.beefitswhatsfordinner.com/recipes/recipe/1160/tenderloin-cranberry-and-pear-salad-with-honey-mustard-dressing
125,coarse grind black pepper,"tenderloin, cranberry and pear salad with honey mustard dressing",http://www.beefitswhatsfordinner.com/recipes/recipe/1160/tenderloin-cranberry-and-pear-salad-with-honey-mustard-dressing
126,package,"tenderloin, cranberry and pear salad with honey mustard dressing",http://www.beefitswhatsfordinner.com/recipes/recipe/1160/tenderloin-cranberry-and-pear-salad-with-honey-mustard-dressing
127,medium  red or green pear,"tenderloin, cranberry and pear salad with honey mustard dressing",http://www.beefitswhatsfordinner.com/recipes/recipe/1160/tenderloin-cranberry-and-pear-salad-with-honey-mustard-dressing
128,dried cranberries,"tenderloin, cranberry and pear salad with honey mustard dressing",http://www.beefitswhatsfordinner.com/recipes/recipe/1160/tenderloin-cranberry-and-pear-salad-with-honey-mustard-dressing
129,salt,"tenderloin, cranberry and pear salad with honey mustard dressing",http://www.beefitswhatsfordinner.com/recipes/recipe/1160/tenderloin-cranberry-and-pear-salad-with-honey-mustard-dressing
130,coarsely chopped pecans,"tenderloin, cranberry and pear salad with honey mustard dressing",http://www.beefitswhatsfordinner.com/recipes/recipe/1160/tenderloin-cranberry-and-pear-salad-with-honey-mustard-dressing
131,crumbled goat cheese,"tenderloin, cranberry and pear salad with honey mustard dressing",http://www.beefitswhatsfordinner.com/recipes/recipe/1160/tenderloin-cranberry-and-pear-salad-with-honey-mustard-dressing
132,prepared honey mustard,"tenderloin, cranberry and pear salad with honey mustard dressing",http://www.beefitswhatsfordinner.com/recipes/recipe/1160/tenderloin-cranberry-and-pear-salad-with-honey-mustard-dressing
